OrderID;from;Category Name;sales
10248;France;Dairy Products;168
10248;France;Grains/Cereals;98
10248;France;Dairy Products;174
10249;France;Produce;167,4
10249;France;Produce;1696
10250;Belarus;Seafood;77
10250;Belarus;Produce;1484
10250;Belarus;Condiments;252
10251;France;Grains/Cereals;100,8
10251;France;Grains/Cereals;234
10251;France;Condiments;336
10252;France;Dairy Products;2592
10252;France;Dairy Products;50
10252;France;Dairy Products;1088
10253;Belarus;Dairy Products;200
10253;Belarus;Beverages;604,8
10253;Belarus;Confections;640
10254;Belgium;Beverages;54
10254;Belgium;Meat/Poultry;403,2
10254;Belgium;Produce;168
10255;France;Condiments;304
10255;France;Dairy Products;486,5
10255;France;Seafood;380
10255;France;Dairy Products;1320
10256;France;Meat/Poultry;393
10256;France;Condiments;124,8
10257;Austria;Confections;877,5
10257;Austria;Beverages;86,4
10257;Austria;Condiments;156
10258;Belgium;Beverages;760
10258;Belgium;Condiments;1105
10258;Belgium;Dairy Products;153,6
10259;Austria;Confections;80
10259;Austria;Seafood;20,8
10260;Denmark;Seafood;123,2
10260;Denmark;Grains/Cereals;780
10260;Denmark;Confections;591
10260;Denmark;Beverages;252
10261;France;Dairy Products;160
10261;France;Condiments;288
10262;Spain;Condiments;204
10262;Spain;Produce;360
10262;Spain;Grains/Cereals;60,8
10263;Belgium;Confections;834
10263;Belgium;Beverages;100,8
10263;Belgium;Seafood;1242
10263;Belgium;Produce;288
10264;Denmark;Beverages;532
10264;Denmark;Seafood;192,5
10265;Belgium;Meat/Poultry;936
10265;Belgium;Beverages;240
10266;France;Dairy Products;364,8
10267;Austria;Seafood;735
10267;Austria;Dairy Products;3080
10267;Austria;Beverages;216
10268;Austria;Meat/Poultry;990
10268;Austria;Dairy Products;111,2
10269;France;Dairy Products;120
10269;France;Dairy Products;556
10270;France;Seafood;456
10270;France;Condiments;920
10271;France;Dairy Products;48
10272;Spain;Confections;388,8
10272;Spain;Dairy Products;400
10272;Spain;Dairy Products;667,2
10273;Spain;Seafood;595,2
10273;Spain;Dairy Products;150
10273;Spain;Dairy Products;40
10273;Spain;Seafood;882
10273;Spain;Beverages;475,2
10274;France;Dairy Products;344
10274;France;Dairy Products;194,6
10275;Denmark;Beverages;43,2
10275;Denmark;Dairy Products;264
10276;France;Seafood;372
10276;France;Seafood;48
10277;Denmark;Produce;728
10277;Denmark;Confections;472,8
10278;Belgium;Condiments;248
10278;Belgium;Dairy Products;660
10278;Belgium;Condiments;280,8
10278;Belgium;Seafood;300
10279;Denmark;Meat/Poultry;468
10280;Belgium;Beverages;43,2
10280;Belgium;Meat/Poultry;384
10280;Belgium;Beverages;186
10281;France;Dairy Products;7,3
10281;France;Condiments;21,6
10281;France;Condiments;57,6
10282;France;Seafood;124,2
10282;France;Grains/Cereals;31,2
10283;Denmark;Condiments;248
10283;Denmark;Confections;131,4
10283;Denmark;Dairy Products;952
10283;Denmark;Dairy Products;83,4
10284;Denmark;Confections;526,5
10284;Denmark;Condiments;325,5
10284;Denmark;Dairy Products;544
10284;Denmark;Beverages;56
10285;Spain;Beverages;648
10285;Spain;Seafood;588
10285;Spain;Meat/Poultry;943,2
10286;Spain;Beverages;1440
10286;Spain;Confections;1576
10287;France;Dairy Products;556
10287;France;Condiments;224
10287;France;Seafood;144
10288;France;Meat/Poultry;59
10288;France;Dairy Products;30
10289;Belgium;Condiments;240
10289;Belgium;Grains/Cereals;239,4
10290;Belgium;Condiments;340
10290;Belgium;Meat/Poultry;1485
10290;Belgium;Confections;240
10290;Belgium;Condiments;104
10291;France;Seafood;96
10291;France;Condiments;372
10291;France;Produce;84,8
10292;France;Dairy Products;1296
10293;France;Seafood;600
10293;France;Condiments;36
10293;France;Condiments;175,5
10293;France;Condiments;37,2
10294;Spain;Beverages;259,2
10294;Spain;Meat/Poultry;468
10294;Spain;Beverages;552
10294;Spain;Dairy Products;571,2
10294;Spain;Beverages;37,2
10295;France;Grains/Cereals;121,6
10296;Denmark;Dairy Products;201,6
10296;Denmark;Confections;417
10296;Denmark;Dairy Products;432
10297;Belgium;Beverages;864
10297;Belgium;Dairy Products;556
10298;Denmark;Beverages;608
10298;Denmark;Seafood;608
10298;Denmark;Dairy Products;1320
10298;Denmark;Confections;591
10299;France;Dairy Products;109,5
10299;France;Condiments;240
10300;Denmark;Condiments;408
10300;Denmark;Confections;200
10301;France;Seafood;147
10301;France;Grains/Cereals;608
10302;France;Meat/Poultry;1248
10302;France;Produce;1019,2
10302;France;Condiments;441,6
10303;Austria;Seafood;588
10303;Austria;Condiments;504
10303;Austria;Confections;150
10304;France;Dairy Products;480
10304;France;Dairy Products;440
10304;France;Dairy Products;34,4
10305;France;Seafood;1250
10305;France;Meat/Poultry;2475
10305;France;Condiments;432
10306;France;Seafood;207
10306;France;Meat/Poultry;262
10306;France;Meat/Poultry;29,5
10307;Denmark;Confections;394
10307;Denmark;Confections;30
10308;Spain;Dairy Products;28,8
10308;Spain;Beverages;60
10309;Denmark;Condiments;352
10309;Denmark;Condiments;600
10309;Denmark;Grains/Cereals;22,4
10309;Denmark;Beverages;736
10309;Denmark;Dairy Products;51,6
10310;France;Dairy Products;139
10310;France;Dairy Products;197
10311;Austria;Grains/Cereals;67,2
10311;Austria;Dairy Products;201,6
10312;France;Produce;145,6
10312;France;Condiments;883,2
10312;France;Meat/Poultry;524
10312;France;Condiments;62
10313;Spain;Seafood;182,4
10314;Spain;Dairy Products;1024
10314;Spain;Seafood;318
10314;Spain;Confections;985
10315;Denmark;Beverages;156,8
10315;Denmark;Beverages;360
10316;Spain;Seafood;77
10316;Spain;Confections;2758
10317;Denmark;Beverages;288
10318;Denmark;Seafood;154
10318;Denmark;Beverages;86,4
10319;France;Meat/Poultry;249,6
10319;France;Produce;509,6
10319;France;Condiments;432
10320;France;Dairy Products;516
10321;Denmark;Beverages;144
10322;France;Grains/Cereals;112
10323;Denmark;Condiments;62
10323;Denmark;Confections;44,8
10323;Denmark;Beverages;57,6
10324;France;Dairy Products;291,9
10324;France;Condiments;1008
10324;France;Seafood;288
10324;France;Dairy Products;1760
10324;France;Condiments;2808
10325;Denmark;Condiments;120
10325;Denmark;Seafood;57,6
10325;Denmark;Produce;167,4
10325;Denmark;Dairy Products;40
10325;Denmark;Dairy Products;1112
10326;France;Condiments;422,4
10326;France;Grains/Cereals;249,6
10326;France;Condiments;310
10327;Denmark;Beverages;380
10327;Denmark;Dairy Products;840
10327;Denmark;Seafood;724,5
10327;Denmark;Seafood;318
10328;Austria;Dairy Products;396
10328;Austria;Condiments;672
10328;Austria;Confections;100
10329;France;Dairy Products;73
10329;France;Seafood;165,6
10329;France;Condiments;4216
10329;France;Grains/Cereals;364,8
10330;Denmark;Confections;1245
10330;Denmark;Dairy Products;695
10331;Belgium;Meat/Poultry;88,5
10332;Denmark;Seafood;2000
10332;Denmark;Grains/Cereals;112
10332;Denmark;Confections;121,6
10333;France;Produce;186
10333;France;Dairy Products;80
10333;France;Dairy Products;688
10334;France;Grains/Cereals;44,8
10334;France;Dairy Products;100
10335;Denmark;Beverages;106,4
10335;Denmark;Dairy Products;250
10335;Denmark;Dairy Products;153,6
10335;Denmark;Produce;2035,2
10336;France;Condiments;316,8
10337;Austria;Grains/Cereals;288
10337;Austria;Confections;597,6
10337;Austria;Seafood;304
10337;Austria;Seafood;582,4
10337;Austria;Dairy Products;695
10338;France;Meat/Poultry;624
10338;France;Seafood;310,5
10339;Denmark;Condiments;176
10339;Denmark;Meat/Poultry;2184
10339;Denmark;Confections;1103,2
10340;Belgium;Seafood;1000
10340;Belgium;Seafood;92,4
10340;Belgium;Beverages;1472
10341;France;Dairy Products;16
10341;France;Dairy Products;396
10342;Austria;Beverages;364,8
10342;Austria;Dairy Products;560
10342;Austria;Seafood;608
10342;Austria;Meat/Poultry;768
10343;Denmark;Grains/Cereals;1330
10343;Denmark;Confections;40
10343;Denmark;Beverages;216
10344;France;Condiments;616
10344;France;Condiments;2240
10345;Spain;Condiments;2240
10345;Spain;Confections;584
10345;Spain;Grains/Cereals;100,8
10346;Spain;Meat/Poultry;1123,2
10346;Spain;Grains/Cereals;608
10347;Denmark;Confections;112
10347;Denmark;Beverages;720
10347;Denmark;Seafood;58,8
10347;Denmark;Beverages;37,2
10348;France;Condiments;216
10348;France;Grains/Cereals;180
10349;France;Meat/Poultry;141,6
10350;Spain;Confections;195
10350;Spain;Dairy Products;518,4
10351;Belgium;Beverages;4216
10351;Belgium;Seafood;100,1
10351;Belgium;Condiments;1193,5
10351;Belgium;Condiments;168
10352;Austria;Beverages;36
10352;Austria;Meat/Poultry;118
10353;Belgium;Dairy Products;201,6
10353;Belgium;Beverages;10540
10354;France;Condiments;172,8
10354;France;Meat/Poultry;396
10355;Belgium;Beverages;90
10355;Belgium;Grains/Cereals;390
10356;France;Dairy Products;300
10356;France;Meat/Poultry;230,4
10356;France;Dairy Products;576
10357;Denmark;Seafood;744
10357;Denmark;Confections;398,4
10357;Denmark;Dairy Products;217,6
10358;Spain;Beverages;36
10358;Spain;Beverages;112
10358;Spain;Seafood;304
10359;France;Dairy Products;778,4
10359;France;Dairy Products;700
10359;France;Dairy Products;2176
10360;Belgium;Produce;1092
10360;Belgium;Meat/Poultry;3465
10360;Belgium;Beverages;2108
10360;Belgium;Confections;560
10360;Belgium;Meat/Poultry;165,2
10361;Spain;Beverages;777,6
10361;Spain;Dairy Products;1496
10362;Belgium;Confections;560
10362;Belgium;Produce;848
10362;Belgium;Meat/Poultry;141,6
10363;Austria;Dairy Products;200
10363;Austria;Beverages;74,4
10363;Austria;Beverages;172,8
10364;Austria;Dairy Products;864
10364;Austria;Dairy Products;86
10365;Belgium;Dairy Products;403,2
10366;Denmark;Condiments;84
10366;Denmark;Condiments;52
10367;France;Condiments;403,2
10367;France;Meat/Poultry;106,2
10367;France;Condiments;252
10367;France;Condiments;72,8
10368;Belgium;Confections;40
10368;Belgium;Produce;473,2
10368;Belgium;Grains/Cereals;390
10368;Belgium;Grains/Cereals;931
10369;France;Meat/Poultry;1980
10369;France;Grains/Cereals;547,2
10370;Belgium;Beverages;216
10370;Belgium;Grains/Cereals;798
10370;Belgium;Produce;160
10371;Spain;Seafood;91,2
10372;France;Dairy Products;777,6
10372;France;Condiments;8432
10372;France;Dairy Products;1904
10372;France;Dairy Products;1167,6
10373;Denmark;Seafood;848
10373;Denmark;Dairy Products;860
10374;France;Dairy Products;300
10374;France;Seafood;159
10375;Spain;Produce;279
10375;Spain;Meat/Poultry;59
10376;Denmark;Dairy Products;420
10377;France;Produce;728
10377;France;Condiments;288
10378;Denmark;Dairy Products;103,2
10379;France;Seafood;61,6
10379;France;Condiments;561,6
10379;France;Condiments;336
10380;Denmark;Seafood;372,6
10380;Denmark;Meat/Poultry;524
10380;Denmark;Dairy Products;163,2
10380;Denmark;Beverages;360
10381;Denmark;Produce;112
10382;Belgium;Condiments;544
10382;Belgium;Seafood;450
10382;Belgium;Meat/Poultry;1386
10382;Belgium;Dairy Products;120
10382;Belgium;Produce;400
10383;Belgium;Seafood;96
10383;Belgium;Confections;195
10383;Belgium;Grains/Cereals;608
10384;Belgium;Confections;1814,4
10384;Belgium;Dairy Products;408
10385;France;Produce;240
10385;France;Dairy Products;544
10385;France;Dairy Products;80
10386;Denmark;Beverages;54
10386;Denmark;Beverages;112
10387;France;Condiments;54
10387;France;Produce;218,4
10387;France;Dairy Products;528
10387;France;Dairy Products;258
10388;France;Seafood;114
10388;France;Grains/Cereals;112
10388;France;Meat/Poultry;1048
10389;Belgium;Seafood;396,8
10389;Belgium;Meat/Poultry;288
10389;Belgium;Confections;788
10389;Belgium;Beverages;360
10390;Belgium;Dairy Products;600
10390;Belgium;Beverages;576
10390;Belgium;Seafood;432
10390;Belgium;Dairy Products;667,2
10391;Austria;Seafood;86,4
10392;Belgium;Dairy Products;1440
10393;France;Condiments;380
10393;France;Produce;781,2
10393;France;Dairy Products;78,4
10393;France;Dairy Products;1743
10393;France;Dairy Products;320
10394;Spain;Seafood;48
10394;Spain;Confections;394
10395;Austria;Seafood;268,8
10395;Austria;Meat/Poultry;1834
10395;Austria;Dairy Products;230,4
10396;Austria;Grains/Cereals;288
10396;Austria;Dairy Products;1032
10396;Austria;Dairy Products;583,8
10397;France;Dairy Products;80
10397;France;Produce;763,2
10398;France;Condiments;432
10398;France;Meat/Poultry;2304
10399;France;Dairy Products;600
10399;France;Dairy Products;516
10399;France;Condiments;504
10399;France;Condiments;145,6
10400;Austria;Meat/Poultry;2079
10400;Austria;Beverages;504
10400;Austria;Confections;480
10401;Spain;Seafood;372,6
10401;Spain;Grains/Cereals;2128
10401;Spain;Condiments;336
10401;Spain;Dairy Products;1032
10402;Belgium;Grains/Cereals;432
10402;Belgium;Condiments;2281,5
10403;Belgium;Confections;291,9
10403;Belgium;Confections;714
10404;Denmark;Confections;747
10404;Denmark;Grains/Cereals;448
10404;Denmark;Confections;480
10405;Denmark;Condiments;400
10406;France;Condiments;144
10406;France;Dairy Products;240
10406;France;Produce;1528,8
10406;France;Seafood;76
10406;France;Seafood;29,4
10407;Denmark;Dairy Products;504
10407;Denmark;Dairy Products;432
10407;Denmark;Dairy Products;258
10408;Austria;Seafood;208
10408;Austria;Meat/Poultry;35,4
10408;Austria;Confections;1379
10409;France;Produce;223,2
10409;France;Dairy Products;96
10410;Belgium;Dairy Products;98
10410;Belgium;Dairy Products;704
10411;Belgium;Seafood;192,5
10411;Belgium;Condiments;620
10411;Belgium;Dairy Products;396
10412;France;Produce;372
10413;Spain;Beverages;345,6
10413;Spain;Confections;1576
10413;Spain;Beverages;201,6
10414;Denmark;Confections;131,4
10414;Denmark;Dairy Products;100
10415;Spain;Meat/Poultry;62,4
10415;Spain;Dairy Products;40
10416;France;Dairy Products;146
10416;France;Meat/Poultry;262
10416;France;Grains/Cereals;312
10417;France;Condiments;10540
10417;France;Seafood;19,2
10417;France;Dairy Products;360
10417;France;Condiments;364
10418;Spain;Beverages;912
10418;Spain;Confections;418
10418;Spain;Condiments;364,8
10418;Spain;Produce;120
10419;France;Dairy Products;1632
10419;France;Dairy Products;576
10420;France;Meat/Poultry;1552
10420;France;Seafood;9,6
10420;France;Condiments;96
10420;France;Seafood;240
10421;France;Dairy Products;29,2
10421;France;Dairy Products;747
10421;France;Meat/Poultry;393
10421;France;Condiments;104
10422;Denmark;Confections;49,8
10423;Austria;Dairy Products;140
10423;Austria;Dairy Products;880
10424;Denmark;Beverages;864
10424;Denmark;Beverages;10329,2
10424;Denmark;Confections;300
10425;Spain;Meat/Poultry;192
10425;Spain;Beverages;288
10426;Denmark;Grains/Cereals;152
10426;Denmark;Grains/Cereals;186,2
10427;Belgium;Produce;651
10428;France;Seafood;192
10429;Denmark;Confections;520
10429;Denmark;Condiments;1228,5
10430;Belgium;Meat/Poultry;1404
10430;Belgium;Confections;400
10430;Belgium;Grains/Cereals;912
10430;Belgium;Dairy Products;3080
10431;Belgium;Meat/Poultry;1560
10431;Belgium;Seafood;735
10431;Belgium;Confections;228
10432;France;Dairy Products;249
10432;France;Meat/Poultry;236
10433;France;Grains/Cereals;851,2
10434;Denmark;Dairy Products;100,8
10434;Denmark;Beverages;259,2
10435;Austria;Beverages;152
10435;Austria;Grains/Cereals;201,6
10435;Austria;Dairy Products;278
10436;Belgium;Seafood;48
10436;Belgium;Grains/Cereals;1216
10436;Belgium;Grains/Cereals;798
10436;Belgium;Beverages;148,8
10437;France;Meat/Poultry;393
10438;France;Dairy Products;109,5
10438;France;Condiments;224
10438;France;Grains/Cereals;234
10439;Denmark;Dairy Products;456
10439;Denmark;Confections;222,4
10439;Denmark;Grains/Cereals;159,6
10439;Denmark;Produce;240
10440;France;Condiments;684
10440;France;Dairy Products;681,1
10440;France;Meat/Poultry;2376
10440;France;Condiments;2052
10441;France;Dairy Products;1755
10442;Belgium;Dairy Products;504
10442;Belgium;Meat/Poultry;472
10442;Belgium;Condiments;816
10443;France;Dairy Products;100,8
10443;France;Produce;436,8
10444;Belgium;Meat/Poultry;312
10444;Belgium;Confections;373,5
10444;Belgium;Beverages;115,2
10444;Belgium;Seafood;231
10445;Belgium;Beverages;86,4
10445;Belgium;Meat/Poultry;88,5
10446;France;Dairy Products;87,6
10446;France;Condiments;72
10446;France;Dairy Products;30
10446;France;Grains/Cereals;84
10447;France;Dairy Products;292
10447;France;Condiments;588
10447;France;Dairy Products;34,4
10448;France;Dairy Products;149,4
10448;France;Seafood;294
10449;Belgium;Seafood;347,2
10449;Belgium;Grains/Cereals;112
10449;Belgium;Confections;1379
10450;France;Seafood;496
10450;France;Meat/Poultry;35,4
10451;Spain;Meat/Poultry;2304
10451;Spain;Grains/Cereals;931
10451;Spain;Condiments;470,4
10451;Spain;Condiments;572
10452;France;Produce;546
10452;France;Condiments;1550
10453;Belgium;Confections;153
10453;Belgium;Beverages;300
10454;Spain;Confections;278
10454;Spain;Dairy Products;40
10454;Spain;Seafood;96
10455;France;Condiments;288
10455;France;Meat/Poultry;1310
10455;France;Condiments;570
10455;France;Dairy Products;516
10456;Denmark;Confections;320
10456;Denmark;Confections;336
10457;Denmark;Dairy Products;1584
10458;France;Dairy Products;747
10458;France;Produce;1092
10458;France;Condiments;736
10458;France;Grains/Cereals;456
10458;France;Dairy Products;860
10459;France;Produce;384
10459;France;Seafood;192
10459;France;Dairy Products;1112
10460;Denmark;Confections;210
10460;Denmark;Beverages;24,8
10461;Denmark;Confections;320
10461;Denmark;Seafood;579,6
10461;Denmark;Meat/Poultry;1152
10462;Austria;Seafood;4,8
10462;Austria;Grains/Cereals;151,2
10463;France;Dairy Products;153,3
10463;France;Grains/Cereals;560
10464;Austria;Condiments;281,6
10464;Austria;Beverages;110,4
10464;Austria;Grains/Cereals;912
10464;Austria;Dairy Products;544
10465;France;Condiments;90
10465;France;Meat/Poultry;1782
10465;France;Seafood;294
10465;France;Seafood;228
10465;France;Dairy Products;325
10466;Belgium;Dairy Products;168
10466;Belgium;Seafood;48
10467;Denmark;Beverages;100,8
10467;Denmark;Confections;134,4
10468;Denmark;Seafood;165,6
10468;Denmark;Beverages;552
10469;France;Condiments;608
10469;France;Dairy Products;486,5
10469;France;Condiments;31
10470;Belgium;Seafood;1500
10470;Belgium;Grains/Cereals;108
10470;Belgium;Grains/Cereals;212,8
10471;Belgium;Produce;720
10471;Belgium;Grains/Cereals;608
10472;France;Condiments;288
10472;France;Produce;763,2
10473;Denmark;Dairy Products;24
10473;Denmark;Dairy Products;206,4
10474;France;Produce;223,2
10474;France;Produce;655,2
10474;France;Seafood;308,7
10474;France;Condiments;62
10475;France;Dairy Products;350
10475;France;Condiments;816
10475;France;Condiments;604,8
10476;Austria;Meat/Poultry;38,4
10476;Austria;Beverages;144
10477;France;Condiments;216
10477;France;Dairy Products;168
10477;France;Condiments;288
10478;France;Seafood;496
10479;Spain;Beverages;6324
10479;Spain;Meat/Poultry;733,6
10479;Spain;Dairy Products;2640
10479;Spain;Grains/Cereals;798
10480;Austria;Confections;228
10480;Austria;Dairy Products;528
10481;France;Dairy Products;384
10481;France;Dairy Products;1088
10482;Denmark;Seafood;147
10483;France;Condiments;392
10483;France;Condiments;312
10484;Belgium;Confections;112
10484;Belgium;Seafood;147
10484;Belgium;Produce;127,2
10485;Denmark;Beverages;304
10485;Denmark;Condiments;160
10485;Denmark;Meat/Poultry;576
10485;Denmark;Beverages;720
10486;Austria;Dairy Products;84
10486;Austria;Produce;1060
10486;Austria;Produce;128
10487;France;Dairy Products;36,5
10487;France;Dairy Products;747
10487;France;Meat/Poultry;141,6
10488;Austria;Dairy Products;1320
10488;Austria;Seafood;240
10489;Belgium;Dairy Products;252
10489;Belgium;Confections;250,2
10490;Austria;Dairy Products;2640
10490;Austria;Confections;300
10490;Austria;Beverages;223,2
10491;Austria;Condiments;232,5
10491;Austria;Condiments;72,8
10492;Belgium;Confections;672
10492;Belgium;Grains/Cereals;224
10493;Spain;Condiments;252
10493;Spain;Condiments;136
10493;Spain;Dairy Products;288
10494;Belgium;Grains/Cereals;912
10495;Denmark;Grains/Cereals;72
10495;Denmark;Seafood;154
10495;Denmark;Condiments;52
10496;France;Dairy Products;200
10497;Denmark;Grains/Cereals;425,6
10497;Denmark;Dairy Products;695
10497;Denmark;Condiments;260
10498;Austria;Beverages;63
10498;Austria;Seafood;92
10498;Austria;Grains/Cereals;420
10499;Denmark;Produce;912
10499;Denmark;Confections;500
10500;Spain;Condiments;186
10500;Spain;Produce;364,8
10501;Belgium;Meat/Poultry;149
10502;France;Seafood;199,5
10502;France;Meat/Poultry;196,8
10502;France;Condiments;420
10503;Denmark;Produce;1627,5
10503;Denmark;Condiments;421
10504;France;Condiments;228
10504;France;Dairy Products;120
10504;France;Meat/Poultry;328
10504;France;Condiments;712,5
10505;Denmark;Confections;147,9
10506;Denmark;Confections;252
10506;Denmark;Beverages;210
10507;Belgium;Beverages;690
10507;Belgium;Confections;191,25
10508;Denmark;Seafood;60
10508;Denmark;Beverages;180
10509;Belgium;Produce;136,8
10510;France;Meat/Poultry;4456,44
10510;France;Condiments;279
10511;Belgium;Condiments;1100
10511;Belgium;Produce;1500
10511;Belgium;Condiments;400
10512;Denmark;Beverages;45
10512;Denmark;Seafood;108
10512;Denmark;Confections;57
10512;Denmark;Dairy Products;408
10513;France;Dairy Products;400
10513;France;Dairy Products;1600
10513;France;Condiments;427,5
10514;Belgium;Confections;3159
10514;Belgium;Produce;1596
10514;Belgium;Grains/Cereals;2660
10514;Belgium;Condiments;820,95
10514;Belgium;Beverages;387,5
10515;Spain;Meat/Poultry;1552
10515;Spain;Confections;872,5
10515;Spain;Confections;5268
10515;Spain;Dairy Products;40
10515;Spain;Dairy Products;2856
10516;Denmark;Seafood;1562,5
10516;Denmark;Seafood;772
10516;Denmark;Grains/Cereals;280
10517;France;Grains/Cereals;42
10517;France;Dairy Products;220
10517;France;Condiments;90
10518;France;Condiments;22,5
10518;France;Condiments;3952,5
10518;France;Condiments;175,05
